location_id,global_region,country,location_label,lower_age,upper_age,deaths,fatalities_citation_id
201,South Asia,India,Tamil Nadu (iFlash districts),80,84,154,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),85,100,73,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),0,100,5272,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),0,18,11,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),19,24,18,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),25,29,40,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),30,34,63,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),35,39,117,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),40,44,176,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),45,49,302,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),50,54,503,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),55,59,617,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),60,64,785,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),65,69,831,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),70,74,771,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),75,79,504,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),80,84,332,"ss-32 , a-306"
202,South Asia,India,Tamil Nadu (Vitros districts),85,100,202,"ss-32 , a-306"
203,South Asia ,India,Malegaon (city population),0,100,110,n-1078; pop a-20
209,Latin America,Brazil,Cuiaba,0,100,1032,n-1082
209,Latin America,Brazil,Cuiaba,0,9,4,n-1082
209,Latin America,Brazil,Cuiaba,10,19,3,n-1082
209,Latin America,Brazil,Cuiaba,20,29,11,n-1082
209,Latin America,Brazil,Cuiaba,30,39,44,n-1082
209,Latin America,Brazil,Cuiaba,40,49,93,n-1082
209,Latin America,Brazil,Cuiaba,50,59,169,n-1082
209,Latin America,Brazil,Cuiaba,60,69,269,n-1082
209,Latin America,Brazil,Cuiaba,70,79,262,n-1082
209,Latin America,Brazil,Cuiaba,80,100,168,n-1082
216,Latin America,Brazil,Varzea Grande,0,100,491,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,0,9,2,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,10,19,6,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,20,29,2,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,30,39,19,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,40,49,65,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,50,59,95,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,60,69,121,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,70,79,94,"a-310, a-311"
216,Latin America,Brazil,Varzea Grande,80,100,87,"a-310, a-311"
218,Latin America,Brazil,Pitangueiras,0,100,22,n-16
219,Latin America,Chile,"Coquimbo-La Serena, Greater Santiago, Talca ",0,100,12002,n-1103
219,Latin America,Chile,"Coquimbo-La Serena, Greater Santiago, Talca ",0,6,22,n-1103
219,Latin America,Chile,"Coquimbo-La Serena, Greater Santiago, Talca ",7,14,6,n-1103
219,Latin America,Chile,"Coquimbo-La Serena, Greater Santiago, Talca ",15,24,22,n-1103
