location_id,country,location,lower_age,upper_age,Mean,x025,x975
96,Cameroon,Cité Verte (of Yaoundé),15,29,31.0207589,25.8513205,36.4372362
96,Cameroon,Cité Verte (of Yaoundé),30,44,33.316446,26.8598815,40.1433912
96,Cameroon,Cité Verte (of Yaoundé),45,64,33.9636502,26.724468,41.8193403
96,Cameroon,Cité Verte (of Yaoundé),65,100,36.4061668,23.0987167,51.0227371
97,Ethiopia,"Jimma town, Seka, Manna",0,100,0.6713039,0.1492266,1.4271181
100,South Africa,Jouberton,0,4,7.5655775,2.069321,16.2411089
100,South Africa,Jouberton,5,12,10.4121543,5.5795533,16.5432948
100,South Africa,Jouberton,13,18,19.3125291,11.4766164,28.4671037
100,South Africa,Jouberton,19,34,10.8448731,5.6667686,17.3294479
100,South Africa,Jouberton,35,59,29.8254376,21.7166726,38.6990552
100,South Africa,Jouberton,60,100,7.6012695,2.3984596,15.1740022
101,South Sudan,Juba,1,4,40.6412189,26.7883488,55.9981442
101,South Sudan,Juba,5,9,33.7157727,25.5106567,42.4854564
101,South Sudan,Juba,10,19,40.6907481,34.0972084,47.5110561
101,South Sudan,Juba,20,29,28.3178171,22.4787518,34.4204154
101,South Sudan,Juba,30,39,24.6884595,18.0696374,31.6088455
101,South Sudan,Juba,40,49,27.2420402,18.0096629,37.5408823
101,South Sudan,Juba,50,64,36.9782661,25.9677295,48.8786062
101,South Sudan,Juba,65,84,32.2181265,19.8161117,46.2965029
105,Iraq,"Iraq: Duhok (city, not governorate)",0,100,62.7599937,59.0705933,66.5676529
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",0,4,4.6733427,1.9161498,8.3771994
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",5,9,1.7152686,0.7732258,2.8160851
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",10,19,3.5254534,2.2145693,5.0106906
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",20,29,11.0004121,9.4326754,12.8743672
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",30,39,12.1552282,10.4628676,14.192727
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",40,49,9.7586517,7.874938,11.9137269
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",50,59,8.7801726,6.0788331,11.875715
107,United Arab Emirates,"Abu Dhabi, Al Ain, Al Dhafra",60,100,4.7241803,1.9815188,8.3700888
108,India,"Jabalpur (city, not district)",0,18,35.435731,31.3403839,39.8108131
108,India,"Jabalpur (city, not district)",19,45,35.8658397,33.1445278,38.7042556
108,India,"Jabalpur (city, not district)",46,60,41.4287864,37.7749957,45.2057484
108,India,"Jabalpur (city, not district)",61,100,36.6784988,32.4413513,41.1742188
122,India,"Indore (city, not district)",0,17,8.6116102,6.3983748,10.4874302
122,India,"Indore (city, not district)",18,44,8.4068617,6.2958971,10.1422327
122,India,"Indore (city, not district)",45,60,12.3345788,9.5217433,15.1059518
122,India,"Indore (city, not district)",61,100,10.3988274,6.8368166,14.1919603
124,China,"Provinces: Beijing, Shanghai, Guangdong, Jiangsu, Sichuan, Liaoning",1,9,0.2139182,0.0269119,0.5955432
124,China,"Provinces: Beijing, Shanghai, Guangdong, Jiangsu, Sichuan, Liaoning",10,19,0.2004342,0.0234458,0.5615727
124,China,"Provinces: Beijing, Shanghai, Guangdong, Jiangsu, Sichuan, Liaoning",20,39,0.0665006,8.12E-03,0.1868225
124,China,"Provinces: Beijing, Shanghai, Guangdong, Jiangsu, Sichuan, Liaoning",40,59,0.1182001,0.0274099,0.2687137
124,China,"Provinces: Beijing, Shanghai, Guangdong, Jiangsu, Sichuan, Liaoning",60,100,0.0899518,0.0104834,0.2487347
128,Democratic Republic of Congo,Kinshasa,0,17,14.1278879,10.2123621,18.4783479
128,Democratic Republic of Congo,Kinshasa,18,39,12.5141932,9.4510267,15.9059125
128,Democratic Republic of Congo,Kinshasa,40,100,20.3562878,16.2771633,24.6863851
129,Libya,Benghazi,0,100,0.3377496,0.0400329,0.9310883
151,Argentina,"AMBA (Metropolitan Area of ​​Buenos Aires), 30 barrios",0,100,14.7972215,13.5452708,15.9854136
206,India,Hyderabad,10,19,54.9500271,52.2937047,57.8088696
